epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34998,1.37921,1.19829,1.51483,0.77616,0.71918,0.79075,0.45226,1.16537,0.96215,1.21672,0.000828443,0.000828443,0.000828443
43,35828.1,1.37243,1.18643,1.51221,0.76729,0.72501,0.79178,0.45379,1.16014,0.95402,1.213,0.000820525,0.000820525,0.000820525
44,36660.3,1.36219,1.16522,1.5045,0.76694,0.72263,0.79181,0.45535,1.15688,0.95417,1.21156,0.000812468,0.000812468,0.000812468
45,37492.9,1.36315,1.15861,1.50346,0.77246,0.71971,0.79199,0.45544,1.15682,0.95332,1.21255,0.000804277,0.000804277,0.000804277
46,38325.4,1.3538,1.1511,1.50242,0.77381,0.71965,0.79171,0.45489,1.15561,0.94655,1.21339,0.000795954,0.000795954,0.000795954
47,39157.4,1.34739,1.14167,1.48873,0.77828,0.71532,0.79233,0.45616,1.15703,0.94841,1.21424,0.000787503,0.000787503,0.000787503
48,39990.1,1.35346,1.14656,1.4995,0.78031,0.7163,0.79421,0.45879,1.15286,0.93495,1.21217,0.000778929,0.000778929,0.000778929
49,40822.8,1.34144,1.1186,1.48874,0.77739,0.72411,0.79646,0.45935,1.15365,0.93023,1.21268,0.000770234,0.000770234,0.000770234
50,41655.4,1.34086,1.12773,1.48955,0.7788,0.72316,0.79636,0.46077,1.15195,0.91671,1.21298,0.000761423,0.000761423,0.000761423
51,42488.1,1.33315,1.10058,1.47789,0.78813,0.71776,0.79834,0.46164,1.14937,0.91064,1.21077,0.0007525,0.0007525,0.0007525
52,43320.8,1.32434,1.10278,1.47343,0.77974,0.72468,0.79872,0.4616,1.14951,0.90505,1.21105,0.000743468,0.000743468,0.000743468
53,44152.8,1.32778,1.09845,1.47468,0.78664,0.72155,0.79969,0.46243,1.14819,0.89883,1.20925,0.000734332,0.000734332,0.000734332
54,44985.5,1.30432,1.06969,1.45892,0.78002,0.72688,0.80004,0.4626,1.14807,0.89272,1.20904,0.000725094,0.000725094,0.000725094
55,45818.1,1.3059,1.08296,1.46171,0.78655,0.72402,0.79969,0.46301,1.14877,0.88994,1.20978,0.000715761,0.000715761,0.000715761
56,46650.4,1.30839,1.06445,1.4651,0.78701,0.72619,0.80094,0.46324,1.14877,0.88714,1.20965,0.000706335,0.000706335,0.000706335
57,47486.2,1.3043,1.06663,1.46345,0.78069,0.73151,0.80036,0.46311,1.14605,0.88388,1.20775,0.00069682,0.00069682,0.00069682
58,48318.3,1.29349,1.05153,1.45253,0.77618,0.73542,0.80072,0.46414,1.14536,0.88181,1.207,0.000687222,0.000687222,0.000687222
59,49151,1.29557,1.04528,1.45141,0.77577,0.73757,0.80149,0.46444,1.14527,0.87611,1.20674,0.000677543,0.000677543,0.000677543
60,49983.6,1.2914,1.04312,1.43998,0.77702,0.73985,0.80205,0.46495,1.14404,0.87389,1.20523,0.000667789,0.000667789,0.000667789
61,50816,1.28647,1.02803,1.44532,0.77849,0.73925,0.80278,0.46506,1.14411,0.87006,1.20561,0.000657963,0.000657963,0.000657963
62,51648.2,1.28136,1.02762,1.43617,0.77843,0.74075,0.80277,0.46557,1.14326,0.86831,1.20464,0.000648071,0.000648071,0.000648071
63,52480.5,1.27595,1.01326,1.43658,0.77633,0.74347,0.80254,0.4655,1.14337,0.8681,1.20418,0.000638115,0.000638115,0.000638115
64,53312.2,1.26705,1.01812,1.42784,0.77642,0.74267,0.80276,0.46603,1.14332,0.86667,1.20471,0.000628101,0.000628101,0.000628101
65,54145.1,1.27096,1.00446,1.42845,0.77864,0.74001,0.80289,0.46641,1.14445,0.86286,1.20637,0.000618034,0.000618034,0.000618034
66,54977.8,1.26484,0.991,1.41963,0.78112,0.73956,0.80358,0.4666,1.14361,0.85974,1.20622,0.000607916,0.000607916,0.000607916
67,55810.1,1.25873,0.98937,1.4217,0.78298,0.73905,0.80402,0.46723,1.14362,0.85633,1.20626,0.000597754,0.000597754,0.000597754
68,56642.7,1.24989,0.97473,1.41454,0.78285,0.73886,0.80408,0.46699,1.14381,0.85324,1.2068,0.000587551,0.000587551,0.000587551
69,57474.8,1.25205,0.97606,1.41302,0.78308,0.73876,0.80397,0.46753,1.14345,0.85075,1.2065,0.000577311,0.000577311,0.000577311
70,58307.4,1.24819,0.97855,1.40876,0.78474,0.73872,0.80423,0.46785,1.14333,0.84859,1.20659,0.00056704,0.00056704,0.00056704
71,59140,1.23712,0.95889,1.40054,0.78343,0.74001,0.80524,0.46842,1.14323,0.84634,1.2065,0.000556742,0.000556742,0.000556742
72,59972.3,1.22627,0.95286,1.3955,0.77729,0.74311,0.80413,0.46821,1.14371,0.84525,1.20722,0.000546421,0.000546421,0.000546421
73,60804.3,1.22722,0.94667,1.3963,0.77644,0.74476,0.80473,0.46859,1.14392,0.84407,1.20781,0.000536081,0.000536081,0.000536081
74,61636.7,1.22791,0.94208,1.39251,0.77657,0.7458,0.80563,0.46855,1.1438,0.84351,1.20818,0.000525728,0.000525728,0.000525728
75,62468.7,1.21971,0.93908,1.38224,0.77722,0.74485,0.80514,0.46871,1.14468,0.84219,1.20932,0.000515366,0.000515366,0.000515366
76,63301,1.22084,0.93232,1.38917,0.77911,0.74485,0.80551,0.46873,1.1448,0.83937,1.20975,0.000505,0.000505,0.000505
77,64133.3,1.21202,0.92567,1.38453,0.7812,0.74428,0.80546,0.46844,1.14496,0.83742,1.21015,0.000494634,0.000494634,0.000494634
78,64964.4,1.21048,0.91146,1.38085,0.78206,0.74454,0.80626,0.46882,1.14539,0.83498,1.21075,0.000484272,0.000484272,0.000484272
